category,institution,quarter,quarter_end_date,stock_ticker,stock_company,action,value_change_usd_mn,pct_change,notes,timing_known
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,GLW,Corning,Exited,-153.6,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,AAL,American Airlines Group Inc,New Position,135.5,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,META,Meta Platforms,Added,130.5,54.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,CRWV,"CoreWeave, Inc",New Position,107.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,UBER,"Uber Technologies, Inc",Added,99.7,21.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,PDD,PDD Holdings Inc,Exited,-92.0,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,WHR,Whirlpool,Reduced,-77.0,-63.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,BIDU,Baidu,Added,70.9,87.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,AMD,AMD,Reduced,69.7,-10.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,LHX,L3Harris,Exited,-68.3,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,RTX,RTX Corp,Exited,-66.0,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,AVGO,Broadcom,New Position,56.7,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,BALL,BALL Corp,Exited,-49.5,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,NVDA,Nvidia,Added,48.5,3.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,VST,Vistra Corp,Added,47.4,9.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,JD,JD.com,Exited,-38.6,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,SPCX,SpaceX,New Position,38.4,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,LYFT,"Lyft, Inc",Exited,-35.9,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,ASML,ASML Holding,Added,34.1,1.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,MSFT,Microsoft,Exited,-33.3,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,KRANESHARES TRUST,Kraneshares Trust,Exited,-30.7,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,UNH,UnitedHealth,Exited,-24.4,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,QCOM,Qualcomm,Reduced,-18.0,-49.9,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,BRK.B,Berkshire B,New Position,12.5,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,GT,Goodyear,New Position,10.0,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,DB,Deutsche Bank,Exited,-7.7,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
13F Hedge Funds,Appaloosa Management,Q2 2026,2026-06-30,NRG,"Nrg Energy, Inc",Added,3.6,1.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,SPCX,SpaceX,New Position,2653.9,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,SPY,SPDR S&P 500 ETF Trust,Added,2339.0,150.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,DLR,"Digital Realty Trust, Inc",New Position,2211.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,TRP,TC Energy,Reduced,-309.1,-78.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,OKE,Oneok Inc,Reduced,-276.7,-89.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,LNG,"Cheniere Energy, Inc",Reduced,-242.3,-35.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,LGN,Legence Corp,Reduced,229.2,-23.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,QQQ,Invesco QQQ Trust,Exited,-213.0,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,VG,"Venture Global, Inc",Added,155.9,7045.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,MPLX,Mplx,Reduced,-146.2,-15.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,ALPHABET INC,Alphabet Inc,New Position,139.7,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,ALPHABET INC,Alphabet Inc,New Position,130.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,KMI,"Kinder Morgan, Inc",Added,130.3,24.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,TRGP,Targa Resources Corp,Added,127.8,7.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,AVB,Avalonbay Communities Inc,Added,119.4,122.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,ISHARES TR,Ishares Tr,Reduced,-106.2,-79.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,LRCX,Lam Research,Added,99.1,8245.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,CWAN,Clearwater Analytics,Exited,-96.2,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,WES,"Western Midstream Partners, LP",Added,93.2,18.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,HESM,Hess Midstream LP,Reduced,-84.4,-25.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,ET,Energy Transfer LP,Added,83.5,15.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,EPD,Enterprise Products,Added,74.9,12.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,GTLS,Chart Industries,Reduced,-72.7,-97.8,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,CRWV,"CoreWeave, Inc",New Position,67.2,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,FPS,"Forgent Power Solutions, Inc",Added,59.7,138.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,PTEN,Patterson Uti Energy Inc,Reduced,-58.0,-70.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,CBRS,Cerebras Systems Inc,New Position,48.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,EQT,EQT Corp,Reduced,-47.8,-99.4,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,WMB,Williams Companies,Added,46.5,1.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,NFG,National Fuel Gas Co,Added,40.3,110.6,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,PAA,Plains All American,Added,30.8,7.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,SPDR SERIES TRUST,Spdr Series Trust,New Position,30.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,GAMESTOP CORP,Gamestop Corp,New Position,30.5,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,AMD,AMD,Reduced,-29.5,-83.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,AEROVIRONMENT INC,Aerovironment Inc,New Position,28.7,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,BMBL,Bumble Inc,Reduced,-25.7,-25.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,NVT,nVent Electric plc,Reduced,-24.6,-52.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,ENB,Enbridge,Reduced,-24.2,-3.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,VNOM,"Viper Energy, Inc",Exited,-23.5,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Blackstone,Q2 2026,2026-06-30,ARTV,"Artiva Biotherapeutics, Inc",New Position,23.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,ISHARES TR,Ishares Tr,Added,879.4,207.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,VANECK ETF TRUST,Vaneck Etf Trust,Exited,-766.8,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,ADT,ADT Inc,Exited,-670.1,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,SPCX,SpaceX,New Position,345.7,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,JPM,JPMorgan,Exited,-328.0,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,NVDA,Nvidia,Added,233.5,45.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,PRMB,Primo Brands Corp,New Position,168.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,ECHO,EchoStar CORP,Added,154.8,96.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,ECHOSTAR CORP,Echostar Corp,Added,141.6,34.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,CORZ,Core Scientific,New Position,115.7,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,TSM,TSMC ADR,New Position,95.5,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,GPC,Genuine Parts Co,New Position,88.3,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,GBTG,"Global Business Travel Group, Inc",Reduced,76.2,-5.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,CMCSA,Comcast,Reduced,-75.2,-53.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,KMX,Carmax Inc,Reduced,-67.3,-52.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,HGV,Hilton Grand Vacations Inc,Reduced,-59.4,-31.5,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,VOO,Vanguard S&P 500 ETF,Added,53.9,0.3,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,ARES,Ares Management Corp,Exited,-36.0,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,UNIT,Uniti Group Inc,Added,35.1,14.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,PHOENIX ED PARTNERS INC,Phoenix Ed Partners Inc,Added,34.6,0.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,INVH,Invitation Homes Inc,Added,28.6,29.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,OC,Owens Corning,Exited,-26.0,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,TPG,Tpg,Reduced,-25.2,-24.7,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,MHK,Mohawk Industries Inc,Exited,-23.8,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,BLDR,"Builders FirstSource, Inc",Exited,-23.7,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,FCX,Freeport-Mcmoran Inc,New Position,22.8,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,CNXC,Concentrix Corp,Exited,-22.7,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,JHX,James Hardie,Exited,-22.3,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,MBC,"MasterBrand, Inc",Exited,-21.9,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,SSGA ACTIVE TR,Ssga Active Tr,Added,19.9,100.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,CCJ,Cameco Corp,New Position,14.8,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,CHTR,Charter Communications,New Position,10.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,SSGA ACTIVE TR,Ssga Active Tr,Added,10.0,92.0,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,OVV,Ovintiv Inc,New Position,9.2,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,DVN,Devon Energy,New Position,9.1,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,LINE,"Lineage, Inc",Added,8.9,75.1,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,OPI,Office Properties Income Trust,New Position,8.8,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,OPTU,"Optimum Communications, Inc",Exited,-7.9,-100,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,CYH,Community Health Systems Inc,Added,5.8,3.2,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
Alternative Assets,Apollo Global Management,Q2 2026,2026-06-30,VG,"Venture Global, Inc",New Position,5.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
AI Core Holdings,NVIDIA,Q2 2026,2026-06-30,SPCX,SpaceX,New Position,20975.6,,EDGAR 13F 自动生成，待人工复核,披露日: 2026-08-14
